Latitude;Longitude;Time;Date;Number of Sats;GPS Speed (Kn);GPS True Heading;GPS Magnetic Variation;HDOP;C Magnetic Heading;C True Heading;Pitch Angle;Roll Angle;C Inside Temp (c);DFS Depth (m);DTB Height (m);Total Water Column (m);Batt Percent;Power Watts;Watt-Hours;Batt Volts;Batt Ampers;Batt State;Time to Empty;Current Step;Dist To Next (m);Next Speed (kn);Vehicle Speed (kn);Motor Speed CMD;Next Heading;Next Long;Next Lat;Next Depth (m);Depth Goal (m);Vehicle State;Error State;Distance to Track (m);Fin Pitch R;Fin Pitch L;Pitch Goal;Fin Yaw T;Fin Yaw B;Yaw Goal;Fin Roll;DVL-Depth (m);DVL -Altitude (m);DVL -Water Column (m);DVL-FixType;DVL-FixQuality;DVL-Temperature;Conductivity (mmhos/cm);Temperature (c);Salinity (ppt);Sound Speed (m/s);Date m/d/y   ;Time hh:mm:ss;Temp C;SpCond mS/cm;Sal ppt;Depth feet;pH;pH mV;Turbid+ NTU;Chl ug/L;BGA-PC cells/mL;ODOsat %;ODO mg/L;Battery volts;ROSEM Command Type;
25.9127708333333;-80.1378861666667;12:28:16.70;11/16/2022;9;0.307;319.92;-7.23198341732529;1.06;173.5;163.12;1.28;-5.49;32.2;.00;.60;.60;97;22;520.1;16.4;-1.3;D;1606.5;0;6.456;2;0.1;128;106.2;-80.13782418;25.91275464;0;0;1;N;2.960115;65;65;11;5;5;92.0158;0;9999.99;.61;0.737;2;9;28.4;0;28.3999996185303;37.76;1545.0013;11/16/22;12:00:32;27.38;56.84;37.76;1.100;8.27;-75.2;-2.2;-5.2;-2626;65.6;4.21;13.0;;
25.9127675;-80.1378856666667;12:28:17.72;11/16/2022;8;0.067;319.92;-7.23198341732529;1.06;173.9;163.51;1.28;-5.25;32.3;.00;.60;.60;97;22;520.1;16.4;-1.3;D;1606.5;0;6.314;2;0.1;128;103.09;-80.13782418;25.91275464;0;0;1;N;2.586887;64;64;11;5;5;90.94836;0;9999.99;.61;0.737;2;9;28.4;0;28.3999996185303;37.76;1545.0013;11/16/22;12:00:32;27.38;56.84;37.76;1.100;8.27;-75.2;-2.2;-5.2;-2626;65.6;4.21;13.0;;
25.9127666290816;-80.1378826666291;12:28:18.73;11/16/2022;8;0.64;319.92;-7.23198341732529;1.06;171.9;161.54;2.71;-2.1;32.2;.01;.60;.61;97;22;520.1;16.4;-1.3;D;1578.3;1;21.463;2;0.08;174;137.82;-80.13773856;25.9126236;0;0;1;N;4.368295;70;70;11;5;5;129.9541;0;9999.99;.62;0.747;2;9;28.4;0;28.3999996185303;37.99;1545.24387;11/16/22;12:00:33;27.39;57.15;37.99;1.103;8.27;-75.4;-2.1;-2.6;-2147;65.6;4.20;13.2;;
25.9127716484337;-80.1378769266192;12:28:19.73;11/16/2022;9;1.529;21.69;-7.23198341732529;1.06;174.3;163.91;1.22;-4.14;32.2;.01;.60;.61;97;22;520.1;16.4;-1.3;D;1578.3;1;21.506;2;0.3;174;139.95;-80.13773856;25.9126236;0;0;1;N;3.587617;64;64;11;5;5;133.5136;0;9999.99;.61;0.737;2;9;28.4;0;28.3999996185303;37.72;1544.95955;11/16/22;12:00:35;27.37;56.79;37.72;1.121;8.27;-75.4;-1.7;-2.8;-1030;65.6;4.20;13.3;;
25.9127660567328;-80.1378787216384;12:28:20.73;11/16/2022;8;0.354;21.69;-7.23198341732529;1.16;172.3;161.93;1.22;-2.1;32.2;.00;.57;.58;97;22;520.1;16.4;-1.3;D;1578.3;1;21.153;2;0.59;174;138.49;-80.13773856;25.9126236;0;0;1;N;4.052897;64;64;11;5;5;130.9498;0;9999.99;.58;0.707;2;9;28.4;0;28.3999996185303;37.72;1544.95955;11/16/22;12:00:35;27.37;56.79;37.72;1.121;8.27;-75.4;-1.7;-2.8;-1030;65.6;4.20;13.3;;
25.9127555190462;-80.1378813711868;12:28:21.73;11/16/2022;9;1.293;21.69;-7.23198341732529;1.06;169.6;159.27;1.19;-2.16;32.2;.00;.56;.56;97;22;520.1;16.4;-1.3;D;1578.3;1;20.474;2;0.93;174;135.76;-80.13773856;25.9126236;0;0;1;N;4.875509;64;64;11;5;5;125.9458;0;9999.99;.57;0.697;2;9;28.4;0;28.3999996185303;37.98;1545.23322;11/16/22;12:00:36;27.38;57.14;37.98;1.164;8.26;-74.7;-2.4;-2.1;-4411;65.4;4.19;13.1;;
25.9127524577489;-80.1378795815791;12:28:22.73;11/16/2022;9;0.371;21.69;-7.23198341732529;1.16;165.1;154.87;1.41;0.47;32.2;.00;.54;.54;97;41;520.0;16.3;-2.5;D;865.1;1;20.106;2;1.39;174;135.45;-80.13773856;25.9126236;0;0;1;N;4.886301;65;65;11;8;8;125.1807;0;9999.99;.55;0.677;2;9;28.4;0;28.3999996185303;37.8;1545.04322;11/16/22;12:00:38;27.36;56.90;37.80;1.143;8.27;-75.3;-2.7;-3.9;-2453;65.4;4.19;13.2;;
25.9127412127235;-80.137879855216;12:28:23.73;11/16/2022;9;1.532;21.69;-7.23198341732529;1.16;161.5;151.37;2.48;-0.77;32.2;.00;.53;.54;97;41;520.0;16.3;-2.5;D;865.1;1;19.255;2;2.26;174;132.78;-80.13773856;25.9126236;0;0;1;N;5.535941;72;72;11;5;5;119.9782;0;9999.99;.54;0.667;2;9;28.4;0;28.3999996185303;37.8;1545.04322;11/16/22;12:00:38;27.36;56.90;37.80;1.143;8.27;-75.3;-2.7;-3.9;-2453;65.4;4.19;13.2;;
25.9127351704614;-80.1378805700621;12:28:24.73;11/16/2022;9;0.774;21.69;-7.23198341732529;0.99;165.5;155.26;1.22;-8.2;32.3;.00;.52;.52;97;41;520.0;16.3;-2.5;D;865.1;1;18.859;2;1.73;174;131.14;-80.13773856;25.9126236;0;0;1;N;5.940539;65;65;11;5;5;116.5728;0;9999.99;.53;0.6569999;2;9;28.3;0;28.3999996185303;38.01;1545.2649;11/16/22;12:00:39;27.38;57.18;38.01;1.116;8.27;-75.6;-3.3;-5.4;-928;65.3;4.18;13.2;;
25.9127286849748;-80.1378875903784;12:28:25.73;11/16/2022;9;0.911;21.69;-7.23198341732529;0.99;165.6;155.36;1.32;-3.92;32.2;.00;.50;.50;97;39;520.0;16.3;-2.4;D;891;1;18.940;2;1.54;174;128.09;-80.13773856;25.9126236;0;0;1;N;6.89945;65;65;11;5;5;111.6065;0;9999.99;.51;0.637;2;9;28.3;0;28.2999992370605;37.75;1544.77584;11/16/22;12:00:41;27.36;56.83;37.75;1.131;8.27;-75.2;-3.2;-4.1;-395;65.4;4.19;13.2;;
